barcode,brand,image,name,url
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/21040-uni-baby-biberon-emzik-temizleyici-500-ml-9933111230514-jpg-9933111230514.jpg,Uni Baby Biberon Emzik Temizleyici 500 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/20582-uni-baby-sensitive-bebek-camasir-deterjani-1500-ml-bebek-camasir-yumusaticisi-1500-ml-8692190008854-jpg-8692190008854.jpg,Uni Baby Sensitive Bebek Çamaşır Deterjanı 1500 ml + Bebek Çamaşır Yumuşatıcısı 1500 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Maxi-Cosi,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/22363-maxi-cosimaxi-cosi-flexi-bag-canta-ea-5fdd7a-jpg-maxi-cosimaxi-cosi-flexi-bag-canta-ea-5fdd7a.jpg,Maxi-Cosi Flexi Bag Çanta / Earth Brown,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Maxi-Cosi,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/18919-maxi-cosi-original-canta-river-blue-7179-jpg-maxi-cosi-original-canta-river-blue-7179.jpg,Maxi-Cosi Original Çanta / River Blue  ,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Mamajoo,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/18703-mamajoo-termal-canta-f46e-jpg-mamajoo-termal-canta-f46e.jpg,Mamajoo Termal Çanta,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,OkBaby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/18605-okbaby-handy-alt-acma-minderi-714d-jpg-okbaby-handy-alt-acma-minderi-714d.jpg,Okbaby Handy Alt Açma Minderi,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Maxi-Cosi,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/21189-maxi-cosi-original-canta-robin-red-5fd5-jpg-maxi-cosi-original-canta-robin-red-5fd5.jpg,Maxi-Cosi Original Çanta /  Robin Red,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Maxi-Cosi,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/17932-maxi-cosimaxi-cosi-flexi-bag-canta-blac-46e8-jpg-maxi-cosimaxi-cosi-flexi-bag-canta-blac-46e8.jpg,Maxi-Cosi Flexi Bag Çanta / Black Raven,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Mustela,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/13555-mustela-bebek-yagi-100-ml-mustela-bebek-yagi-100-ml-mustela-bebek-yagi-100ml-1.jpg,Mustela Bebek Yağı 100 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,ROCS,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/13421-rocs-baby-extra-yumusak-dis-fircasi-ve-dis-macunu-seti-0-3-yas-rocs-baby-extra-yumusak-dis-fircasi-ve-dis-macunu-seti-0-3-yas-rocs-baby-extra-yumusak-dis-fircasi-ve-dis-macunu-seti-0-3-yas-mavi.jpg,ROCS Baby Extra yumuşak Diş Fırçası Ve Diş Macunu Seti (0-3 yaş),https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,ROCS,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/13353-rocs-baby-papatya-ozlu-dis-macunu-0-3yas-rocs-baby-papatya-ozlu-dis-macunu-0-3yas-rocs-baby-papatya-ozlu-dis-macunu-0-3-yas-1.jpg,Rocs Baby Papatya Özlü Diş Macunu (0-3Yaş),https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,AVENT,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/20916-philips-avent-urban-canta-siyah-philips-avent-urban-canta-8809913122866.jpg,Philips Avent Urban Çanta - Siyah,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Baby Time,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/12934-baby-time-cit-cit-bebek-tirnak-makasi-torpu-hediyeli-baby-time-cit-cit-bebek-tirnak-makasi-torpu-hediyeli-9025.jpg,Baby Time Çıt Çıt Bebek Tırnak Makası - Törpü Hediyeli,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/13027-chicco-tazeleyici-ve-koruyucu-sprey-100-ml-chicco-tazeleyici-ve-koruyucu-sprey-100-ml-8934-chicco-tazeleyici-ve-koruyucu-sprey-100-ml-sprey-jpg-sprey.jpg,Chicco Tazeleyici ve Koruyucu Sprey - 100 ML,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/13031-chicco-ilk-sut-disi-fircasi-mavi-6-36-ay-chicco-ilk-sut-disi-fircasi-mavi-6-36-ay-8930.jpg,Chicco İlk Süt Dişi Fırçası Mavi 6-36 Ay,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/13038-chicco-ilk-sut-disi-fircasi-pembe-6-36-ay-chicco-ilk-sut-disi-fircasi-pembe-6-36-ay-8924.jpg,Chicco İlk Süt Dişi Fırçası Pembe 6-36 Ay,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Biomini,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10466-13935-buyuk-orjinal-jpg-13935-buyuk-orjinal.jpg,Biomini Organik Hindistan Cevizi Yağı - 300 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Friendly Organic,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10834-13855-buyuk-orjinal-jpg-13855-buyuk-orjinal.jpg,Friendly Organic Bulaşık El Deterjanı Portakallı - 1000 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9560-13251-buyuk-orjinal-jpg-13251-buyuk-orjinal.png,Chicco Yumuşatıcı Pudra Tazeliği 750 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Mustela,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10921-11823-buyuk-orjinal-jpg-11823-buyuk-orjinal.jpg,Mustela 1.2.3 Vitamin Bariyer Pişik Kremi 50ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11022-9817-buyuk-orjinal-jpg-9817-buyuk-orjinal.jpg,Chicco Masaj Yağı 200 Ml Baby Moments 00002850100000,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Dalin,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9946-9237-buyuk-orjinal-jpg-9237-buyuk-orjinal.jpg,Dalin Bebek Yağı 300 Ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9406-7075-buyuk-orjinal-jpg-7075-buyuk-orjinal.jpg,Chicco Tarak&Fırça Seti (Pembe) 8058664011926,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9405-7074-buyuk-orjinal-jpg-7074-buyuk-orjinal.jpg,Chicco Tarak-Fırça Seti -Mavi 8003670862420,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9500-3241-buyuk-1-orjinal-jpg-3241-buyuk-1-orjinal.jpg,Chicco Kapaklı Bebek Tırnak Makası - Mavi,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Britax-Römer,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10390-17364-buyuk-orjinal-jpg-17364-buyuk-orjinal.jpg,Britax-Römer Affinity Bebek Bakım Çantası - Cool Berry,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Britax-Römer,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10388-17363-buyuk-orjinal-jpg-17363-buyuk-orjinal.jpg,Britax-Römer Affinity Bebek Bakım Çantası - Cool Berry,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Britax-Römer,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10401-17362-buyuk-orjinal-jpg-17362-buyuk-orjinal.jpg,Britax-Römer Affinity Bebek Bakım Çantası - Chilli Pepper,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Britax-Römer,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10387-17361-buyuk-orjinal-jpg-17361-buyuk-orjinal.jpg,Britax-Römer Affinity Bebek Bakım Çantası - Chilli Pepper,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Britax-Römer,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10397-17360-buyuk-orjinal-jpg-17360-buyuk-orjinal.jpg,Britax-Römer Affinity Bebek Bakım Çantası- Blue Sky,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Britax-Römer,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10386-17359-buyuk-orjinal-jpg-17359-buyuk-orjinal.jpg,Britax-Römer Affinity Bebek Bakım Çantası - Blue Sky,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11055-17296-buyuk-orjinal-jpg-17296-buyuk-orjinal.jpg,Chicco Bebeğimin Bakım Seti Sırt Çantası Hediyeli - Erkek,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11054-17295-buyuk-orjinal-jpg-17295-buyuk-orjinal.jpg,Chicco Bebeğimin Bakım Seti Sırt Çantası Hediyeli - Kız,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9559-17291-buyuk-orjinal-jpg-17291-buyuk-orjinal.jpg,Chicco Göz Yakmayan Saç ve Vücut Şampuanı 750ml + Chicco Pişik Önleyici Krem 100ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9558-17290-buyuk-orjinal-jpg-17290-buyuk-orjinal.jpg,Chicco Göz Yakmayan Saç ve Vücut Şampuanı 750ml + Chicco Sünger Banyo Eldiveni,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Sema Bebe,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10730-17281-buyuk-orjinal-jpg-17281-buyuk-orjinal.jpg,Sema Baby Çok Amaçlı Müslin Örtü 100x80 cm - Ekru 8682476853148,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Sema Bebe,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10732-17280-buyuk-orjinal-jpg-17280-buyuk-orjinal.jpg,Sema Baby Çok Amaçlı Müslin Örtü 100x80 cm - Mavi Yıldız 8682476853131,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Sema Bebe,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10734-17275-buyuk-orjinal-jpg-17275-buyuk-orjinal.jpg,Sema Baby Çok Amaçlı Müslin Örtü 100x80 cm - Pembe Yıldız 8682476853124,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10831-15245-buyuk-orjinal-jpg-15245-buyuk-orjinal.jpg,UnıBaby Saç Ve Vücut Şampuanı 900ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10832-14240-buyuk-orjinal-jpg-14240-buyuk-orjinal.jpg,Uni Baby Kolay Tarama Şampuanı - 700 ML,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Uni Baby,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10585-14239-buyuk-orjinal-jpg-14239-buyuk-orjinal.jpg,Uni Baby Saç Ve Vücut Şampuanı - 750 ML,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Johnson´s,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10586-14197-buyuk-orjinal-jpg-14197-buyuk-orjinal.jpg,Johnson's Bebek Yağı 300ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Friendly Organic,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10594-14092-buyuk-orjinal-jpg-14092-buyuk-orjinal.jpg,Friendly Organic Puset ve Araba Koltuğu Temizleyici - 250ML,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Penaten,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9649-14016-buyuk-orjinal-jpg-14016-buyuk-orjinal.jpg,Penaten Baby Bebek Duş Şampuanı Papatya 750 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Biomini,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10467-13936-buyuk-orjinal-jpg-13936-buyuk-orjinal.jpg,Biomini Organik Hindistan Cevizi Yağı - 150 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Friendly Organic,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10588-13872-buyuk-orjinal-jpg-13872-buyuk-orjinal.jpg,Friendly Organic Bebek Yağı (Zeytin Yağı ve Badem Yağı) - 100 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Friendly Organic,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10593-13869-buyuk-orjinal-jpg-13869-buyuk-orjinal.jpg,Friendly Organic Sıvı El Sabunu Pirinç Ekstraktı - 500 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Friendly Organic,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/10591-13866-buyuk-orjinal-jpg-13866-buyuk-orjinal.jpg,Friendly Organic Parfümsüz Biberon ve Beslenme Gereçleri Temizleyici - 100 ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Bebe Zartpflege,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11491-13813-buyuk-orjinal-jpg-13813-buyuk-orjinal.jpg,Bebe Zartpflege Hassas Bebek Bakım Şampuanı 200 ML,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Penaten,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9379-13708-buyuk-orjinal-jpg-13708-buyuk-orjinal.png,Penaten Baby Bebek Pudrası 100 ml (3574660537369),https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,KRAFT,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11433-13670-buyuk-orjinal-jpg-13670-buyuk-orjinal.jpg,Kraft Bebek Bakım Çantası (1705) - Kırmızı,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,KRAFT,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11431-13669-buyuk-orjinal-jpg-13669-buyuk-orjinal.jpg,Kraft Bebek Bakım Çantası (1705) - Siyah,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,KRAFT,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11429-13668-buyuk-orjinal-jpg-13668-buyuk-orjinal.jpg,Kraft Bebek Bakım Çantası (1705) - Krem,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Baby Time,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/21048-baby-time-buyutecli-tirnak-makasi-241872-babytime-buyutecli-tirnak-makasi-mavi-3a939170.jpg,Baby Time Büyüteçli Tırnak Makası,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Betam,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9918-13531-buyuk-orjinal-jpg-13531-buyuk-orjinal.jpg,Betam Emniyetli Bebek Kulak Çubuğu 60'lı,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Betam,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/13398-betam-bebek-temizleme-pamugu-60-adet-betam-bebek-temizleme-pamugu-60-adet-5724-13529-buyuk-jpg-13529-buyuk.jpg,Betam Bebek Temizleme Pamuğu 60 Adet,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Chicco,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11085-13442-buyuk-orjinal-jpg-13442-buyuk-orjinal.jpg,Chicco Temizleme Pamuğu 60'lı,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Friendly Organic,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/12288-13437-buyuk-orjinal-jpg-13437-buyuk-orjinal.jpg,Friendly Organic Çok Amaçlı Yer Temizleyici - 1000ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,Friendly Organic,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/11734-13436-buyuk-orjinal-jpg-13436-buyuk-orjinal.jpg,Friendly Organic Bebek Pişik Kremi - 100ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
,NUK,//www.aktifbebek.com/UserFiles/Fotograflar/thumbs/9570-13323-buyuk-orjinal-jpg-13323-buyuk-orjinal.jpg,Nuk Sıvı Çamaşır Detarjanı 750ml,https://www.aktifbebek.com/betam-bebek-temizleme-pamugu-60-adet
